attack_method,epsilon,scope,protocol_hint,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,delta_f1
baseline,0.0,global,,1598449,48396,12,3296,0.9999924927789918,0.9979422442398759,0.9989663165433726,0.00024789291026276647,1650153,48408,1601745,0.0,0,1598449,0.0020577557601241148,3296,1601745,0.0
baseline,0.0,protocol,bluetooth,25134,6671,0,36,1.0,0.998569725864124,0.9992843511450382,0.0,31841,6671,25170,0.0,0,25134,0.0014302741358760429,36,25170,0.0
baseline,0.0,protocol,mqtt,63277,0,0,438,1.0,0.9931256376049595,0.9965509638402419,,63715,0,63715,0.0,0,63277,0.006874362395040415,438,63715,0.0
baseline,0.0,protocol,wifi,1510038,41725,12,2822,0.9999920532432701,0.998134658858057,0.9990624927635954,0.00028751467522821476,1554597,41737,1512860,0.0,0,1510038,0.0018653411419430747,2822,1512860,0.0
surrogate_fgsm,0.0,global,,1598449,48396,12,3296,0.9999924927789918,0.9979422442398759,0.9989663165433726,0.00024789291026276647,1650153,48408,1601745,0.0,0,1598449,0.0020577557601241148,3296,1601745,0.0
surrogate_fgsm,0.0,protocol,bluetooth,25134,6671,0,36,1.0,0.998569725864124,0.9992843511450382,0.0,31841,6671,25170,0.0,0,25134,0.0014302741358760429,36,25170,0.0
surrogate_fgsm,0.0,protocol,mqtt,63277,0,0,438,1.0,0.9931256376049595,0.9965509638402419,,63715,0,63715,0.0,0,63277,0.006874362395040415,438,63715,0.0
surrogate_fgsm,0.0,protocol,wifi,1510038,41725,12,2822,0.9999920532432701,0.998134658858057,0.9990624927635954,0.00028751467522821476,1554597,41737,1512860,0.0,0,1510038,0.0018653411419430747,2822,1512860,0.0
surrogate_fgsm,0.01,global,,1538581,48396,12,63164,0.999992200666453,0.9605655082425729,0.9798824202999805,0.00024789291026276647,1650153,48408,1601745,0.037542017293013416,60009,1598449,0.039434491757427054,63164,1601745,-0.01908389624339213
surrogate_fgsm,0.01,protocol,bluetooth,25150,6671,0,20,1.0,0.9992054032578467,0.9996025437201909,0.0,31841,6671,25170,3.9786743057213336e-05,1,25134,0.0007945967421533572,20,25170,0.00031819257515264265
surrogate_fgsm,0.01,protocol,mqtt,4907,0,0,58808,1.0,0.07701483167229067,0.14301535950569788,,63715,0,63715,0.9226417181598369,58382,63277,0.9229851683277094,58808,63715,-0.853535604334544
surrogate_fgsm,0.01,protocol,wifi,1508524,41725,12,4336,0.9999920452677298,0.9971339053184035,0.9985609301131,0.00028751467522821476,1554597,41737,1512860,0.0010767940939234641,1626,1510038,0.0028660946815964464,4336,1512860,-0.0005015626504953907
surrogate_fgsm,0.02,global,,1537751,48396,12,63994,0.9999921964568013,0.9600473233879301,0.9796127291282584,0.00024789291026276647,1650153,48408,1601745,0.038054388973311,60828,1598449,0.039952676612069964,63994,1601745,-0.01935358741511428
surrogate_fgsm,0.02,protocol,bluetooth,25150,6671,0,20,1.0,0.9992054032578467,0.9996025437201909,0.0,31841,6671,25170,3.9786743057213336e-05,1,25134,0.0007945967421533572,20,25170,0.00031819257515264265
surrogate_fgsm,0.02,protocol,mqtt,4521,0,0,59194,1.0,0.07095660362551989,0.1325106981651914,,63715,0,63715,0.9286786668141663,58764,63277,0.9290433963744801,59194,63715,-0.8640402656750505
surrogate_fgsm,0.02,protocol,wifi,1508080,41725,12,4780,0.9999920429257632,0.9968404214534061,0.9984137450710902,0.00028751467522821476,1554597,41737,1512860,0.0013661907846027716,2063,1510038,0.0031595785465938684,4780,1512860,-0.0006487476925052249
surrogate_fgsm,0.05,global,,1536462,48396,12,65283,0.9999921899101449,0.9592425760654786,0.9791936126828624,0.00024789291026276647,1650153,48408,1601745,0.03883702263882051,62079,1598449,0.04075742393452141,65283,1601745,-0.01977270386051022
surrogate_fgsm,0.05,protocol,bluetooth,25150,6671,0,20,1.0,0.9992054032578467,0.9996025437201909,0.0,31841,6671,25170,3.9786743057213336e-05,1,25134,0.0007945967421533572,20,25170,0.00031819257515264265
surrogate_fgsm,0.05,protocol,mqtt,3699,0,0,60016,1.0,0.058055402966334456,0.10973981665529414,,63715,0,63715,0.9416059547702957,59582,63277,0.9419445970336655,60016,63715,-0.8868111471849478
surrogate_fgsm,0.05,protocol,wifi,1507613,41725,12,5247,0.99999204046099,0.9965317345954021,0.9982588888870495,0.00028751467522821476,1554597,41737,1512860,0.0016529385353216276,2496,1510038,0.003468265404597914,5247,1512860,-0.0008036038765458775
surrogate_fgsm,0.1,global,,1535649,48396,12,66096,0.9999921857753762,0.9587350046355694,0.9789290898277112,0.00024789291026276647,1650153,48408,1601745,0.039331251732147854,62869,1598449,0.041264995364430665,66096,1601745,-0.020037226715661438
surrogate_fgsm,0.1,protocol,bluetooth,25150,6671,0,20,1.0,0.9992054032578467,0.9996025437201909,0.0,31841,6671,25170,3.9786743057213336e-05,1,25134,0.0007945967421533572,20,25170,0.00031819257515264265
surrogate_fgsm,0.1,protocol,mqtt,3296,0,0,60419,1.0,0.05173036176724476,0.09837190908955247,,63715,0,63715,0.9479431705042907,59983,63277,0.9482696382327552,60419,63715,-0.8981790547506894
surrogate_fgsm,0.1,protocol,wifi,1507203,41725,12,5657,0.9999920382957972,0.9962607247200667,0.9981228942989825,0.00028751467522821476,1554597,41737,1512860,0.0019105479464755191,2885,1510038,0.0037392752799333714,5657,1512860,-0.0009395984646128897
surrogate_pgd,0.0,global,,1598449,48396,12,3296,0.9999924927789918,0.9979422442398759,0.9989663165433726,0.00024789291026276647,1650153,48408,1601745,0.0,0,1598449,0.0020577557601241148,3296,1601745,0.0
surrogate_pgd,0.0,protocol,bluetooth,25134,6671,0,36,1.0,0.998569725864124,0.9992843511450382,0.0,31841,6671,25170,0.0,0,25134,0.0014302741358760429,36,25170,0.0
surrogate_pgd,0.0,protocol,mqtt,63277,0,0,438,1.0,0.9931256376049595,0.9965509638402419,,63715,0,63715,0.0,0,63277,0.006874362395040415,438,63715,0.0
surrogate_pgd,0.0,protocol,wifi,1510038,41725,12,2822,0.9999920532432701,0.998134658858057,0.9990624927635954,0.00028751467522821476,1554597,41737,1512860,0.0,0,1510038,0.0018653411419430747,2822,1512860,0.0
surrogate_pgd,0.01,global,,1538580,48396,12,63165,0.999992200661384,0.960564883923471,0.9798820954566342,0.00024789291026276647,1650153,48408,1601745,0.03754264289946067,60010,1598449,0.03943511607652903,63165,1601745,-0.019084221086738462
surrogate_pgd,0.01,protocol,bluetooth,25149,6671,0,21,1.0,0.9991656734207389,0.999582662612532,0.0,31841,6671,25170,7.957348611442667e-05,2,25134,0.000834326579261025,21,25170,0.000298311467493817
surrogate_pgd,0.01,protocol,mqtt,4907,0,0,58808,1.0,0.07701483167229067,0.14301535950569788,,63715,0,63715,0.9226417181598369,58382,63277,0.9229851683277094,58808,63715,-0.853535604334544
surrogate_pgd,0.01,protocol,wifi,1508524,41725,12,4336,0.9999920452677298,0.9971339053184035,0.9985609301131,0.00028751467522821476,1554597,41737,1512860,0.0010767940939234641,1626,1510038,0.0028660946815964464,4336,1512860,-0.0005015626504953907
surrogate_pgd,0.02,global,,1537750,48396,12,63995,0.9999921964517265,0.9600466990688281,0.9796124041131299,0.00024789291026276647,1650153,48408,1601745,0.03805501457975825,60829,1598449,0.03995330093117194,63995,1601745,-0.01935391243024276
surrogate_pgd,0.02,protocol,bluetooth,25149,6671,0,21,1.0,0.9991656734207389,0.999582662612532,0.0,31841,6671,25170,7.957348611442667e-05,2,25134,0.000834326579261025,21,25170,0.000298311467493817
surrogate_pgd,0.02,protocol,mqtt,4521,0,0,59194,1.0,0.07095660362551989,0.1325106981651914,,63715,0,63715,0.9286786668141663,58764,63277,0.9290433963744801,59194,63715,-0.8640402656750505
surrogate_pgd,0.02,protocol,wifi,1508080,41725,12,4780,0.9999920429257632,0.9968404214534061,0.9984137450710902,0.00028751467522821476,1554597,41737,1512860,0.0013661907846027716,2063,1510038,0.0031595785465938684,4780,1512860,-0.0006487476925052249
surrogate_pgd,0.05,global,,1536461,48396,12,65284,0.9999921899050618,0.9592419517463766,0.979193287400684,0.00024789291026276647,1650153,48408,1601745,0.03883764824526776,62080,1598449,0.04075804825362339,65284,1601745,-0.019773029142688636
surrogate_pgd,0.05,protocol,bluetooth,25149,6671,0,21,1.0,0.9991656734207389,0.999582662612532,0.0,31841,6671,25170,7.957348611442667e-05,2,25134,0.000834326579261025,21,25170,0.000298311467493817
surrogate_pgd,0.05,protocol,mqtt,3699,0,0,60016,1.0,0.058055402966334456,0.10973981665529414,,63715,0,63715,0.9416059547702957,59582,63277,0.9419445970336655,60016,63715,-0.8868111471849478
surrogate_pgd,0.05,protocol,wifi,1507613,41725,12,5247,0.99999204046099,0.9965317345954021,0.9982588888870495,0.00028751467522821476,1554597,41737,1512860,0.0016529385353216276,2496,1510038,0.003468265404597914,5247,1512860,-0.0008036038765458775
surrogate_pgd,0.1,global,,1535648,48396,12,66097,0.9999921857702877,0.9587343803164674,0.9789287643769293,0.00024789291026276647,1650153,48408,1601745,0.0393318773385951,62870,1598449,0.04126561968353265,66097,1601745,-0.020037552166443318
surrogate_pgd,0.1,protocol,bluetooth,25149,6671,0,21,1.0,0.9991656734207389,0.999582662612532,0.0,31841,6671,25170,7.957348611442667e-05,2,25134,0.000834326579261025,21,25170,0.000298311467493817
surrogate_pgd,0.1,protocol,mqtt,3296,0,0,60419,1.0,0.05173036176724476,0.09837190908955247,,63715,0,63715,0.9479431705042907,59983,63277,0.9482696382327552,60419,63715,-0.8981790547506894
surrogate_pgd,0.1,protocol,wifi,1507203,41725,12,5657,0.9999920382957972,0.9962607247200667,0.9981228942989825,0.00028751467522821476,1554597,41737,1512860,0.0019105479464755191,2885,1510038,0.0037392752799333714,5657,1512860,-0.0009395984646128897
