policy,attack_method,epsilon,precision,adv_malicious_recall,robust_f1,attacked_benign_fpr,tp,tn,fp,fn
baseline_thresholds,surrogate_fgsm,0.01,0.999992200666453,0.9605655082425729,0.9798824202999805,0.00024789291026276647,1538581,48396,12,63164
baseline_thresholds,surrogate_fgsm,0.02,0.9999921964568013,0.9600473233879301,0.9796127291282584,0.00024789291026276647,1537751,48396,12,63994
baseline_thresholds,surrogate_fgsm,0.05,0.9999921899101449,0.9592425760654786,0.9791936126828624,0.00024789291026276647,1536462,48396,12,65283
baseline_thresholds,surrogate_fgsm,0.1,0.9999921857753762,0.9587350046355694,0.9789290898277112,0.00024789291026276647,1535649,48396,12,66096
baseline_thresholds,surrogate_pgd,0.01,0.999992200661384,0.960564883923471,0.9798820954566342,0.00024789291026276647,1538580,48396,12,63165
baseline_thresholds,surrogate_pgd,0.02,0.9999921964517265,0.9600466990688281,0.9796124041131299,0.00024789291026276647,1537750,48396,12,63995
baseline_thresholds,surrogate_pgd,0.05,0.9999921899050618,0.9592419517463766,0.979193287400684,0.00024789291026276647,1536461,48396,12,65284
baseline_thresholds,surrogate_pgd,0.1,0.9999921857702877,0.9587343803164674,0.9789287643769293,0.00024789291026276647,1535648,48396,12,66097
tuned_thresholds,surrogate_fgsm,0.01,0.9999922012290863,0.9606348076628927,0.9799184766254762,0.00024789291026276647,1538692,48396,12,63053
tuned_thresholds,surrogate_fgsm,0.02,0.9999921969794507,0.960111628255434,0.9796462045775736,0.00024789291026276647,1537854,48396,12,63891
tuned_thresholds,surrogate_fgsm,0.05,0.9999921903828469,0.9593006377419627,0.9792238630193556,0.00024789291026276647,1536555,48396,12,65190
tuned_thresholds,surrogate_fgsm,0.1,0.9999921863706864,0.958808049970501,0.9789671661371088,0.00024789291026276647,1535766,48396,12,65979
tuned_thresholds,surrogate_pgd,0.01,0.9999922012240179,0.9606341833437907,0.9799181518050928,0.00024789291026276647,1538691,48396,12,63054
tuned_thresholds,surrogate_pgd,0.02,0.9999921969743768,0.960111003936332,0.97964587958377,0.00024789291026276647,1537853,48396,12,63892
tuned_thresholds,surrogate_pgd,0.05,0.9999921903777644,0.9593000134228606,0.9792235377564557,0.00024789291026276647,1536554,48396,12,65191
tuned_thresholds,surrogate_pgd,0.1,0.9999921863655986,0.958807425651399,0.978966840710599,0.00024789291026276647,1535765,48396,12,65980
